invoice_id,invoice_date,due_date,vendor,vendor_country,recipient,recipient_country,currency,line_number,line_description,line_quantity,line_unit_price,line_amount,line_vat_rate,subtotal,discount_type,discount_value,discount_amount,vat_rate,vat_amount,total,payment_terms,consistency,consistency_note,source_file
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,1,Travel expenses (Frankfurt–Zürich),3,26614.40,79843.20,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,2,Software licence renewal — 50 seats,1,9583.60,9583.60,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,3,Executive workshop (2 days),1,2614.80,2614.80,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,4,Hardware procurement — 4 workstations,3,9834.20,29502.60,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,5,Compliance audit preparation (regulations may have changed since),50,185.70,9285.00,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,6,Legal opinion — cross-border financing,1,46646.20,46646.20,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0001,2026-04-15,2026-05-15,Praxis Consulting Group AG,AT,Bergkristall Maschinenbau GmbH,DE,EUR,7,Consulting hours — Senior Partner,1,32740.50,32740.50,0.20,210215.90,percentage,0.02,4204.32,0.20,42043.18,248054.76,Net 30 days,correct,,INV-2026-0001.pdf
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,1,Travel expenses (London–Vienna),2,23279.90,46559.80,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,2,Executive workshop: 'AI Strategy',3,7734.30,23202.90,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,3,Travel expenses (Frankfurt–Zürich),1,47421.00,47421.00,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
